ID Line Time Xline Inline
0 Inline 408.0 581 310
0 Inline 421.0 584 310
0 Inline 439.0 588 310
0 Inline 456.0 591 310
1 Inline 406.0 630 310
1 Inline 419.0 625 310
1 Inline 428.0 620 310
2 Inline 300.0 531 310
2 Inline 315.0 533 310
2 Inline 333.0 539 310
3 Inline 304.0 438 310
3 Inline 315.0 440 310
3 Inline 328.0 445 310
4 Inline 305.0 764 310
4 Inline 321.0 770 310
5 Inline 300.0 772 310
5 Inline 317.0 778 310
6 Inline 289.0 807 310
6 Inline 304.0 811 310
7 Inline 265.0 832 310
7 Inline 278.0 835 310
7 Inline 294.0 840 310
7 Inline 306.0 845 310
8 Inline 273.0 936 310
8 Inline 291.0 931 310
9 Inline 271.0 922 310
9 Inline 276.0 921 310
9 Inline 280.0 919 310
9 Inline 297.0 906 310
9 Inline 309.0 895 310
10 Inline 66.0 928 310
10 Inline 88.0 927 310
10 Inline 111.0 927 310
10 Inline 119.0 926 310
10 Inline 145.0 923 310
10 Inline 165.0 922 310
10 Inline 192.0 918 310
10 Inline 218.0 914 310
10 Inline 245.0 911 310
10 Inline 278.0 903 310
11 Inline 326.0 891 310
11 Inline 348.0 886 310
11 Inline 376.0 876 310
11 Inline 395.0 865 310
12 Inline 322.0 570 310
12 Inline 337.0 571 310
13 Inline 305.0 335 310
13 Inline 317.0 339 310
13 Inline 335.0 349 310
14 Inline 290.0 1200 310
14 Inline 313.0 1182 310
15 Inline 295.0 1139 310
15 Inline 312.0 1146 310
16 Inline 276.0 894 310
16 Inline 294.0 892 310
16 Inline 323.0 886 310
16 Inline 389.0 865 310
17 Inline 276.0 1005 310
17 Inline 284.0 1008 310
17 Inline 292.0 1011 310
17 Inline 302.0 1017 310
17 Inline 309.0 1024 310
18 Inline 275.0 1068 310
18 Inline 287.0 1070 310
18 Inline 300.0 1072 310
18 Inline 314.0 1075 310
19 Inline 423.0 1182 310
19 Inline 436.0 1187 310
19 Inline 456.0 1191 310
20 Inline 368.0 436 310
20 Inline 379.0 439 310
20 Inline 390.0 440 310
20 Inline 404.0 443 310
20 Inline 412.0 445 310
21 Inline 382.0 512 310
21 Inline 391.0 513 310
21 Inline 406.0 514 310
21 Inline 432.0 517 310
21 Inline 456.0 520 310
22 Inline 399.0 532 310
22 Inline 417.0 533 310
22 Inline 457.0 538 310
23 Inline 387.0 542 310
23 Inline 404.0 545 310
23 Inline 417.0 546 310
23 Inline 430.0 548 310
23 Inline 450.0 552 310
24 Inline 394.0 561 310
24 Inline 419.0 564 310
24 Inline 436.0 566 310
24 Inline 459.0 568 310
25 Inline 377.0 491 310
25 Inline 388.0 493 310
25 Inline 402.0 495 310
25 Inline 417.0 496 310
25 Inline 439.0 499 310
26 Inline 391.0 476 310
26 Inline 404.0 477 310
26 Inline 427.0 479 310
27 Inline 389.0 397 310
27 Inline 396.0 399 310
27 Inline 411.0 406 310
28 Inline 299.0 808 640
28 Inline 314.0 815 640
28 Inline 337.0 821 640
29 Inline 295.0 909 640
29 Inline 304.0 907 640
29 Inline 314.0 904 640
29 Inline 324.0 901 640
29 Inline 336.0 896 640
30 Inline 306.0 1011 640
30 Inline 317.0 1016 640
30 Inline 333.0 1021 640
31 Inline 306.0 472 640
31 Inline 314.0 471 640
31 Inline 328.0 466 640
31 Inline 348.0 460 640
32 Inline 303.0 461 640
32 Inline 314.0 459 640
32 Inline 329.0 455 640
32 Inline 348.0 448 640
33 Inline 81.0 1166 640
33 Inline 97.0 1168 640
33 Inline 109.0 1169 640
